BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,EVENT_INDEX,VAULT_NUMBER,COLLATERAL_TYPE,URN_ADDRESS,DEBT_TO_COVER_AMOUNT,COLLATERAL_LIQUIDATED_AMOUNT,DAI_REPAYED_AMOUNT
14955378,2022-06-13T10:00:24Z,0x7179443151c99f6d181a383103111fa174bd836f6deda2dc5a967a6eac1efd4c,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,115,27396,ETH-B,0x913575fa0adfbf1f9668ecf5b044727ce4a9634b,44558.92709,50.02385162,49156.00454
14755468,2022-05-11T14:51:03Z,0x1602cd6fdfe9c1463d494453348c70b4a94a3c0cf8bc17db67d768ee6cf2bc93,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,157,27378,ETH-B,0x27a984ce07a7bcf8cbf182a30ce574e9c4042670,47447.11806,30.57634519,52158.1586
14759696,2022-05-12T07:00:06Z,0x764afea943af287cdc3946873328804a62dfec61ed59fb8e73acf92e1b0e6033,0x521752d41a21d027d09ebb0654e9541e3118439e,0x079c9895b1c8f70e843ea4cef3704a45fb1b82b4,39,27321,ETH-B,0x4659291c6635b169468a3c474d15f535ffe02378,1862684.344,1425.4,2047782.94
14944376,2022-06-11T13:00:07Z,0x5bbbc31b6c1120255f5929e13969a5bfc888acf57152f023cc69146f80a153a3,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,120,27276,ETH-B,0xe1a158efc069b55568dcc1b88d6412f3b700721a,86097.60732,77.3,94960.88559
14051737,2022-01-21T23:02:01Z,0xeea22e1e3fc5431eeb35fed2bbad170c287f2ae5143a955bd9564d96275ef67f,0x55f8755d9b04f2995733949a03fd260841e1c75d,0x405a832fb7de2e4955dbd33c73773bd188f5c77d,51,26877,ETH-B,0xfbdf45d498c406118a3e76ef38d96c67f1f41cf7,5831772.926,3134.090038,6328872.459
14051919,2022-01-21T23:43:36Z,0x7e7d10e822e82dbde9fa229eecb5642819ff479c6d91bae091c10ca6d4dfcb4b,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,115,26877,ETH-B,0xfbdf45d498c406118a3e76ef38d96c67f1f41cf7,1633575.133,877.9099623,1772827.848
13978717,2022-01-10T16:00:25Z,0xc78cd9d7564ca17d53f61e2cad10f6be3e90ba2de54af7d761f87db02027e613,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0xc4c6dd7041ecb4255ba829bf6104ef20431ca1e4,26,26806,ETH-B,0x4a7312ee90f0ba63a4146f435688e95f4491cc1e,51112.84773,24,55361.30897
13735548,2021-12-03T20:00:27Z,0x576dc920dca93aec4cb9ed8fa71c1c89260e0be465e75cdd6297fd928d9653d2,0x1121e7f863cdecc045c1c13abf4f20b3dd0c658a,0x799699f6c85147b94f299ae97c2d114227d4670d,12,26779,ETH-B,0xa5eef3abb871ecdb07317f79b29d2db531a7fe42,52479.04388,16.97218899,56475.27285
14955378,2022-06-13T10:00:24Z,0x7179443151c99f6d181a383103111fa174bd836f6deda2dc5a967a6eac1efd4c,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,105,26266,ETH-B,0x260e30f4cc513614253a4de9bfe754b0d958ef63,8832996.165,10000,9744283.085
14051985,2022-01-22T00:00:00Z,0xe7aa19a866a3efff6997dabdd26fdaf8034b12f59d5751bd721dbc52f891fb55,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0x635296fd4ef499b4442cdaf2d97c9244ab189db6,59,26162,ETH-B,0x4b3b47d24c0cff3c12f1d8cd1ded0dab7031b47c,120870.9182,67.00938054,131174.9964
13966536,2022-01-08T19:00:02Z,0x704aadbac9ac5f5544c9b4112538d066f6280ec028c7d3feb3652fd033ca0ee1,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0xc4c6dd7041ecb4255ba829bf6104ef20431ca1e4,52,26008,ETH-B,0x37120ea0f914918d4630bd2183181ffa7001ab95,30751.06049,13.80473844,33296.19406
13738501,2021-12-04T07:25:31Z,0x8c4cdaf20b58b2e6f616d32db29ba143d498f7a6ef713c48fedd87a4d9044484,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,112,25973,ETH-B,0x8ece10c6286f4379580695cf5606644fe088d0cc,216965.2156,77.06300857,233506.5108
14759935,2022-05-12T08:00:21Z,0xd954ab01ee713d2247d6c51d8f4a9b9749ef211c051cd293400516be1b2c402f,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,118,25633,ETH-B,0x5ce06b31cbaae7f67c11a463ceca0dc623e01cf4,37882.58526,29.13766682,41647.34237
14068727,2022-01-24T14:00:12Z,0xf9283d05466a780699267d40e1373d3e9399cea85df2e207b3c746f8bb0a71d7,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0x635296fd4ef499b4442cdaf2d97c9244ab189db6,139,25580,ETH-B,0x5ab7b75917eeef2fa45bba6c51ecf4bf0df4158d,246745.2668,158.75,267895.1106
14051947,2022-01-21T23:50:11Z,0x78ccd098e4f333bf981dbdd51baf95a102e4724c4b6b198714f45eb7ec8db663,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,179,25545,ETH-B,0x2ba928c5fb9f3a12f25fa240f2de311a20f4e5e6,36874.76961,19.23,40018.12781
13950144,2022-01-06T06:00:32Z,0x03bdca4e7cc26290b6b2be84f0fa174a910aa6afc8373c3c858ebe87e314a616,0x1121e7f863cdecc045c1c13abf4f20b3dd0c658a,0x799699f6c85147b94f299ae97c2d114227d4670d,11,25526,ETH-B,0x81c64839bdf45238c45753fe8bbb37db4d38ffbb,151908.4635,62.001,164410.5964
13263041,2021-09-20T14:02:55Z,0x53473b676df4856153056a92cc0db51e533846e3f83bbd300dcda0324e27f94c,0x16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,0x135954d155898d42c90d2a57824c690e0c7bef1b,303,25512,ETH-B,0xb9d6b084ee779f01fff3513ec79cc327578a8749,122361.1007,55.2,130300.4414
13271734,2021-09-21T22:01:34Z,0x0815143ce292c4846afde1549a6b56565b84ea05a1e494692ddcf06e46c68f45,0x16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,0x135954d155898d42c90d2a57824c690e0c7bef1b,173,25454,ETH-B,0xc5b66332c7ac3c9259f7f95f9e17191b5afd90e6,8277505.846,4108,8815862.202
12798742,2021-07-10T09:03:51Z,0x55693f55a7eb64bdc19fee5c5793be0dd498038722f8967e61a09eaa6f1bca8d,0xd2c1b9b2edd04f03cd00b957fe04c5f4d9fbb88f,0xb758664a2ed35fe77e82b2f08bb1fdae8234f01f,8,24919,ETH-B,0x67dd99e49e110a149274f9a1f668b65a8872238b,129789.4825,83.8,136625.3538
14055307,2022-01-22T12:00:28Z,0x0288ad5672ffaa752da7e7c3e52f9e48600ccc4a9d596dfc1e0d799123de1908,0x55f8755d9b04f2995733949a03fd260841e1c75d,0x405a832fb7de2e4955dbd33c73773bd188f5c77d,21,24905,ETH-B,0x3afc8ba81840fb09e3022f215cc0067f79e74494,119102.6354,69.00928688,129263.9587
