"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2020-11-18,327643.545286089,73360.625090938,0,254282.920195151,2112729.03583519,0.04,231.531949132623,482.1983847,66.4239290878384,"in-between"
2020-11-19,163898.601020223,915272.122760164,0,-751373.521739941,1361355.51409525,0.04,149.189645380301,479.4376614,65.2827099517514,"in-between"
2020-11-20,514872.359249206,20506.180706344,0,494366.178542862,1855721.69263811,0.04,203.366760837053,471.3179584,61.9134726916126,"in-between"
2020-11-21,3595426.9893795,17269.660637455,0,3578157.32874205,5433879.02138016,0.04,595.493591384127,508.7922146,69.6887349102489,"in-between"
2020-11-22,1188430.20838086,100922.018696379,0,1087508.18968448,6521387.21106463,0.04,714.672571075576,548.8421162,75.455701202266,"Overbought"
2020-11-23,1451693.33505274,35069.668809618,0,1416623.66624312,7938010.87730775,0.04,869.919000252904,560.5088875,76.8381543689076,"Overbought"
2020-11-24,153524.37061251,1441225.55989969,0,-1287701.18928718,6650309.68802057,0.04,728.801061700884,608.2733109,81.4458127445224,"Overbought"
2020-11-25,229838.954233283,232023.494256269,0,-2184.54002298601,6648125.14799758,0.04,728.56166005453,602.6662624,79.4477767212107,"Overbought"
2020-11-26,2164983.67603826,1027532.30267091,11048.079697748,1126403.2936696,7774528.44166719,0.04,852.003116895034,568.275153,68.3690323398198,"in-between"
2020-11-27,1374452.62605231,48482.975917996,0,1325969.65013431,9100498.0918015,0.04,997.314859375507,518.4670452,56.1555381940573,"in-between"
2020-11-28,246251.400298189,1956.399773111,0,244295.000525078,9344793.09232658,0.04,1024.08691422757,517.5530264,55.9579857815264,"in-between"
2020-11-29,243245.930806892,4400.8532925,0,238845.077514392,9583638.16984097,0.04,1050.26171724285,537.3926121,59.3045399551456,"in-between"
2020-11-30,568570.366273629,343782.692519777,0,224787.673753852,9808425.84359482,0.04,1074.89598285971,574.7511197,64.7380298496195,"in-between"
2020-12-01,1029216.74591201,1477054.77570956,0,-447838.029797549,9360587.81379727,0.04,1025.81784260792,612.2637856,69.1868253306274,"in-between"
2020-12-02,1137193.62242037,1526503.61950097,0,-389309.9970806,8971277.81671667,0.04,983.153733338814,589.5818444,63.934427395647,"in-between"
2020-12-03,1146633.35810661,370821.396227201,0,775811.961879406,9747089.77859608,0.04,1068.1742223119,598.7606101,65.0894221280776,"in-between"
2020-12-04,119426.888418837,55029.187880966,0,64397.700537871,9811487.47913395,0.04,1075.23150456262,616.5066616,67.2717127523489,"in-between"
2020-12-05,71716.13805249,287036.166531363,0,-215320.028478873,9596167.45065508,0.04,1051.63478911289,571.1904316,57.4036524710556,"in-between"
2020-12-06,168128.375443774,393885.286359004,0,-225756.91091523,9370410.53973985,0.04,1026.89430572492,595.919414,60.7842752316356,"in-between"
2020-12-07,140479.60991555,18957.818827481,0,121521.791088069,9491932.33082792,0.04,1040.21176228251,601.9689349,61.5874261803661,"in-between"
2020-12-08,293718.267559372,223530.242942057,0,70188.0246173154,9562120.35544523,0.04,1047.90360059674,592.3865067,59.5084253391801,"in-between"
2020-12-09,677950.03404421,260654.823214266,0,417295.210829944,9979415.56627518,0.04,1093.6345826055,554.3296743,52.0006218815423,"in-between"
2020-12-10,167351.692868016,168277.132254248,0,-925.439386231999,9978490.12688894,0.04,1093.53316459057,573.8953091,55.1345730830792,"in-between"
2020-12-11,347974.803764107,349654.785770255,0,-1679.98200614803,9976810.1448828,0.04,1093.34905697346,560.4542654,52.5940844728337,"in-between"
2020-12-12,69189.769591622,271171.759067028,0,-201981.989475406,9774828.15540739,0.04,1071.21404442821,545.9828353,49.9266788921625,"in-between"
2020-12-13,221576.231005198,20931.882700118,0,200644.34830508,9975472.50371247,0.04,1093.20246616027,568.3587534,53.8261221199302,"in-between"
2020-12-14,617154.6732478,161800.698980742,0,455353.974267058,10430826.4779795,0.04,1143.1042715594,590.3244403,57.3383483244627,"in-between"
2020-12-15,2387060.35821227,61080.619283809,0,2325979.73892846,12756806.216908,0.04,1398.00616075704,585.5418949,56.3336105923609,"in-between"
2020-12-16,1788450.71449049,3000.31244253,0,1785450.40204796,14542256.6189559,0.04,1593.67195824175,589.0668316,56.9326189757336,"in-between"
2020-12-17,4646239.39339877,1288630.7749194,0,3357608.61847937,17899865.2374353,0.04,1961.6290671162,635.9618894,64.0066685539194,"in-between"
2020-12-18,769233.970628029,111987.88717951,0,657246.083448519,18557111.3208838,0.04,2033.65603516535,644.0652702,65.0742218924626,"in-between"
2020-12-19,1293973.68795008,28472.526995197,0,1265501.16095488,19822612.4818387,0.04,2172.34109390013,654.4204163,66.4438853620672,"in-between"
2020-12-20,3350303.47,732921.22087073,0,2617382.24912927,22439994.730968,0.04,2459.17750476362,659.3188076,67.1011354002095,"in-between"
2020-12-21,6761703.70683532,720018.979136558,0,6041684.72769876,28481679.4586668,0.05,3901.59992584476,639.5154369,61.8286091231439,"in-between"
2020-12-22,1473210.07487546,783103.604191589,0,690106.470683867,29171785.9293506,0.05,3996.13505881515,610.4270279,54.9932154527674,"in-between"
2020-12-23,117001.45788822,798157.696964194,0,-681156.239075974,28490629.6902746,0.05,3902.82598496913,634.9797234,59.1030889560771,"in-between"
2020-12-24,4532292.013914,738328.966329932,0,3793963.04758407,32284592.7378587,0.05,4422.54695039161,587.9588955,49.7361369334064,"in-between"
2020-12-25,743482.284883704,21278.6728084554,0,722203.612075249,33006796.349934,0.05,4521.47895204575,612.8796571,53.9057045411594,"in-between"
2020-12-26,789053.256323297,158359.244401509,0,630694.011921788,33637490.3618558,0.05,4607.87539203504,626.4567388,56.0450116296772,"in-between"
2020-12-27,3093627.98641332,1476126.58748211,0,1617501.39893121,35254991.760787,0.05,4829.4509261352,636.7423172,57.6486277256497,"in-between"
2020-12-28,5974795.10472421,860977.932007305,0,5113817.17271691,40368808.9335039,0.05,5529.97382650738,689.6598573,64.769956393799,"in-between"
2020-12-29,940491.152042723,149713.671138434,0,790777.480904289,41159586.4144082,0.05,5638.29950882304,732.9570293,69.316150309582,"in-between"
2020-12-30,6443598.48435076,3478362.61590021,0,2965235.86845055,44124822.2828587,0.05,6044.49620313133,735.5908982,69.5733721874866,"in-between"
2020-12-31,1261953.57756603,666867.919678118,0,595085.657887916,44719907.9407466,0.05,6126.01478640365,752.8559324,71.2733417214057,"Overbought"
2021-01-01,1051463.25880419,876531.955160519,0,174931.303643671,44894839.2443903,0.05,6149.9779786836,738.6169382,67.9037474418054,"in-between"
2021-01-02,4063522.16542392,2326552.2925757,0,1736969.87284822,46631809.1172385,0.05,6387.91905715596,730.1473402,65.9077715737763,"in-between"
2021-01-03,6098813.30082708,4340360.43803952,0,1758452.86278756,48390261.9800261,0.05,6628.80301096248,777.6960653,71.0522074480881,"Overbought"
2021-01-04,10788021.759983,11052766.088027,1530.01410563,-266274.342149596,48123987.6378765,0.05,6592.32707368171,967.0005967,82.4236868075489,"Overbought"
2021-01-05,4630481.25032702,2857953.45802109,0,1772527.79230594,49896515.4301824,0.05,6835.13910002499,1025.654768,84.4605411912134,"Overbought"
2021-01-06,1299866.3454032,1306972.15556708,0,-7105.81016387488,49889409.6200185,0.05,6834.1657013724,1103.358252,86.6652156375879,"Overbought"
2021-01-07,3277540.23545776,3311225.74516863,0,-33685.509710866,49855724.1103077,0.05,6829.55124798735,1208.575093,88.9511122775505,"Overbought"
2021-01-08,4445374.33792129,8617430.41827233,1400.28250918,-4173456.36286022,45682267.7474474,0.05,6257.84489691061,1229.471315,89.34187975053,"Overbought"
2021-01-09,5290609.00107891,1130473.29046932,0,4160135.71060959,49842403.458057,0.05,6827.7265011037,1223.729688,88.4165736776742,"Overbought"
2021-01-10,2200623.27843346,2179332.1943737,0,21291.0840597567,49863694.5421168,0.05,6830.6430879612,1282.979576,89.6121893346437,"Overbought"
2021-01-11,15438282.7444019,19712202.725134,67813.384157584,-4341733.36488975,45521961.177227,0.05,6235.88509277083,1267.731003,87.1199010316097,"Overbought"
2021-01-12,5759900.82107322,1094144.37675929,275763.186381841,4389993.25793209,49911954.4351591,0.05,6837.25403221358,1092.914338,64.8514811356826,"in-between"
2021-01-13,3043224.42590791,4186534.00213294,0,-1143309.57622504,48768644.8589341,0.05,6680.63628204577,1045.406815,60.337849665605,"in-between"
2021-01-14,3659029.76674903,3458392.57052104,0,200637.196227989,48969282.0551621,0.05,6708.12082947426,1132.015591,65.1059151111321,"in-between"
2021-01-15,1484629.58665352,551169.768516613,0,933459.818136909,49902741.873299,0.05,6835.99203743822,1216.914788,69.0355779889157,"in-between"
2021-01-16,1338642.81336398,1345499.93165699,0,-6857.11829300667,49895884.755006,0.05,6835.0527061652,1171.860018,64.8610323308536,"in-between"
2021-01-17,775736.233482903,791796.235912832,0,-16060.0024299287,49879824.7525761,0.05,6832.85270583234,1234.63187,67.7839549774696,"in-between"
2021-01-18,589883.959026878,586592.684264765,0,3291.274762113,49883116.0273382,0.05,6833.30356538879,1229.379698,67.2796759620868,"in-between"
2021-01-19,3781505.06768984,3788963.07480154,0,-7458.00711169979,49875658.0202265,0.05,6832.28192057897,1255.976692,68.5554328186283,"in-between"
2021-01-20,3307913.46965993,3312469.20236668,0,-4555.73270675167,49871102.2875197,0.065,8881.15520188707,1383.48409,73.8244906770489,"Overbought"
2021-01-21,3251600.11955825,3243627.82371918,434367.316584988,-426395.02074592,49444707.2667738,0.065,8805.22184202821,1385.852996,73.9119540105397,"Overbought"
2021-01-22,5898373.44233048,5471063.86322845,20034.250800126,407275.328301906,49851982.5950757,0.065,8877.75032515047,1122.912433,52.816289294344,"in-between"
2021-01-23,5467957.9407187,11612972.1327056,0,-6145014.19198694,43706968.4030888,0.065,7783.43272931718,1236.683443,58.3549034600449,"in-between"
2021-01-24,6883300.6876191,1571006.04429739,0,5312294.64332172,49019263.0464105,0.065,8729.45780278543,1231.17638,58.0000000857641,"in-between"
2021-01-25,2330090.39634517,1541615.28114909,0,788475.115196075,49807738.1616066,0.065,8869.87117946418,1392.539763,64.7625028577369,"in-between"
2021-01-26,1540323.67913949,1529005.6987079,0,11317.9804315821,49819056.1420381,0.065,8871.88671022597,1323.429503,60.285443554369,"in-between"
